"Name","State","Notes","User","Tags","Created","Runtime","Sweep","compute_heuristics_only","input_file","method","output_dir","source_model","target_model","test","wandb_project","ALL CAPS","Blockquotes","Bullets","First-Person Pronouns","Code Formatting","Emojis","Exclamations","Greeting (Start)","Header/Title","Links","List","Long Sentences","Markdown","Math Symbols","Numbered Steps","Parentheses","Questions","Repetition","Sign-off (End)","Starts with List","heuristic_avg_score","heuristic_avg_score_source_target","heuristic_diff","heuristic_diff_normalized","length_diff","over_token_limit","parsing_errors","semantic_score","similarity_score_1_10","source_target_ALL CAPS","source_target_Blockquotes","source_target_Bullets","source_target_Code Formatting","source_target_Emojis","source_target_Exclamations","source_target_First-Person Pronouns","source_target_Greeting (Start)","source_target_Header/Title","source_target_Links","source_target_List","source_target_Long Sentences","source_target_Markdown","source_target_Math Symbols","source_target_Numbered Steps","source_target_Parentheses","source_target_Questions","source_target_Repetition","source_target_Sign-off (End)","source_target_Starts with List","stylistic_score"
"Qwen_Qwen2.5-VL-7B-Instruct_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","finished","-","","updated","2025-05-16T09:45:54.000Z","191","","false","disguising/model-responses/disguised/stylistic_clustering_resample/Qwen_Qwen2.5-VL-7B-Instruct/temp0.7/Qwen_Qwen2.5-VL-7B-Instruct_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500.csv","stylistic_clustering_resample","disguising/scores","Qwen/Qwen2.5-VL-7B-Instruct","meta-llama/Llama-3.1-8B-Instruct","false","disguising-method-scoring","0.7829614604462475","1","0.8742393509127789","0.7505070993914807","0.9533468559837728","0.995943204868154","0.795131845841785","0.9716024340770792","0.8945233265720081","0.9939148073022313","0.6977687626774848","0.6876267748478702","0.6754563894523327","0.7119675456389453","0.947261663286004","0.539553752535497","0.896551724137931","0.9411764705882352","0.9979716024340772","0.8985801217038539","0.8503042596348884","0.8432048681541582","0.007099391480730244","0.008419533317296153","0.4262778738387129","1","1","3.059959349593496","6.3638211382113825","0.7626774847870182","1","0.744421906693712","0.9574036511156186","1","0.8336713995943205","0.7403651115618661","0.977687626774848","0.8052738336713996","0.9898580121703854","0.6288032454361054","0.7464503042596349","0.6815415821501014","0.7342799188640974","0.8600405679513184","0.6328600405679513","0.9026369168356998","0.95131845841785","1","0.9148073022312372","2.3180894308943087"
"Qwen_Qwen2.5-VL-7B-Instruct_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500","finished","-","","updated","2025-05-16T08:57:27.000Z","229","","false","disguising/model-responses/disguised/stylistic_clustering_resample/Qwen_Qwen2.5-VL-7B-Instruct/temp0.7/Qwen_Qwen2.5-VL-7B-Instruct_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500.csv","stylistic_clustering_resample","disguising/scores","Qwen/Qwen2.5-VL-7B-Instruct","Qwen/Qwen2.5-VL-7B-Instruct","false","disguising-method-scoring","0.8194726166328601","1","0.9026369168356998","0.7910750507099391","0.9452332657200812","1","0.8093306288032455","0.9797160243407708","0.8985801217038539","0.9918864097363084","0.7018255578093306","0.6592292089249493","0.7099391480730223","0.6369168356997972","0.9127789046653144","0.6024340770791075","0.9269776876267748","0.95131845841785","0.9979716024340772","0.9797160243407708","0.8608519269776875","0.9069979716024342","-0.046146044624746696","-0.05087778150508804","0.4024559061165625","3","1","3.2113821138211383","6.895325203252033","0.8681541582150102","1","0.7991886409736308","0.9411764705882352","1","0.9716024340770792","0.9026369168356998","1","0.8640973630831643","0.9898580121703854","0.7058823529411765","0.8762677484787018","0.742393509127789","0.7464503042596349","0.9655172413793104","0.7870182555780934","0.9797160243407708","1","1","1","2.5040650406504064"
"microsoft_Phi-4-mini-instruct_disguised-microsoft_Phi-4-mini-instruct_responses-500","finished","-","","updated","2025-05-16T08:54:42.000Z","276","","false","disguising/model-responses/disguised/stylistic_clustering_resample/microsoft_Phi-4-mini-instruct/temp0.7/microsoft_Phi-4-mini-instruct_disguised-microsoft_Phi-4-mini-instruct_responses-500.csv","stylistic_clustering_resample","disguising/scores","microsoft/Phi-4-mini-instruct","microsoft/Phi-4-mini-instruct","false","disguising-method-scoring","0.8049281314168378","1","0.9096509240246408","0.7679671457905544","0.9507186858316222","0.9938398357289528","0.784394250513347","0.969199178644764","0.9486652977412732","0.9938398357289528","0.7864476386036962","0.7351129363449692","0.7535934291581109","0.6940451745379876","0.9137577002053388","0.675564681724846","0.9301848049281314","0.942505133470226","1","0.9363449691991786","0.8745379876796715","0.937987679671458","-0.06344969199178652","-0.06764448336252196","0.3853088068840926","3","2","3.2037037037037037","6.939175257731959","0.8562628336755647","1","0.9137577002053388","0.9507186858316222","1","0.9650924024640656","0.9075975359342916","1","0.9609856262833676","0.9917864476386036","0.811088295687885","0.9322381930184804","0.8357289527720739","0.8542094455852156","0.9527720739219712","0.8521560574948666","0.9815195071868584","0.995893223819302","0.997946611909651","1","2.592592592592593"
"Qwen_Qwen2.5-VL-7B-Instruct_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500","finished","-","","updated","2025-05-16T08:53:24.000Z","230","","false","disguising/model-responses/disguised/stylistic_clustering_resample/Qwen_Qwen2.5-VL-7B-Instruct/temp0.7/Qwen_Qwen2.5-VL-7B-Instruct_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500.csv","stylistic_clustering_resample","disguising/scores","Qwen/Qwen2.5-VL-7B-Instruct","mistralai/Mistral-7B-Instruct-v0.3","false","disguising-method-scoring","0.8195652173913044","1","0.9391304347826088","0.7086956521739131","0.9543478260869566","1","0.8369565217391305","0.9891304347826086","0.9260869565217392","0.9934782608695653","0.7804347826086957","0.6152173913043478","0.717391304347826","0.5956521739130435","0.7673913043478261","0.6521739130434783","0.9347826086956522","0.9456521739130436","0.9934782608695653","0.9369565217391304","0.8553260869565218","0.8314130434782611","0.02391304347826073","0.02876192966400819","0.28983768650275776","0","0","3.0934782608695652","6.283695652173913","0.8065217391304348","1","0.75","0.941304347826087","1","0.8434782608695652","0.7347826086956522","0.991304347826087","0.7934782608695652","0.9891304347826086","0.6369565217391304","0.7195652173913043","0.5543478260869565","0.6195652173913043","0.75","0.6760869565217391","0.9217391304347826","0.9608695652173912","0.9956521739130436","0.9434782608695652","2.393478260869565"
"OpenGVLab_InternVL3-8B_disguised-microsoft_Phi-4-mini-instruct_responses-500","finished","-","","updated","2025-05-16T08:52:16.000Z","300","","false","disguising/model-responses/disguised/stylistic_clustering_resample/OpenGVLab_InternVL3-8B/temp0.7/OpenGVLab_InternVL3-8B_disguised-microsoft_Phi-4-mini-instruct_responses-500.csv","stylistic_clustering_resample","disguising/scores","OpenGVLab/InternVL3-8B","microsoft/Phi-4-mini-instruct","false","disguising-method-scoring","0.75","1","0.7439516129032258","0.7056451612903226","0.9475806451612904","0.997983870967742","0.6310483870967742","0.9375","0.8165322580645161","0.9879032258064516","0.594758064516129","0.7741935483870968","0.5806451612903226","0.6391129032258065","0.9254032258064516","0.6653225806451613","0.8649193548387096","0.9556451612903226","1","0.9475806451612904","0.8232862903225806","0.8491935483870968","-0.025907258064516214","-0.03050807217473894","0.6221832677411556","1","1","3.098989898989899","6.5636363636363635","0.7459677419354839","1","0.7318548387096774","0.941532258064516","0.997983870967742","0.7963709677419355","0.7600806451612904","0.9798387096774194","0.7762096774193549","0.9879032258064516","0.6229838709677419","0.8225806451612904","0.6350806451612904","0.6875","0.9112903225806452","0.7641129032258065","0.933467741935484","0.9455645161290324","0.9879032258064516","0.9556451612903226","2.375757575757576"
"meta-llama_Llama-3.1-8B-Instruct_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500","finished","-","","updated","2025-05-16T08:51:05.000Z","246","","false","disguising/model-responses/disguised/stylistic_clustering_resample/meta-llama_Llama-3.1-8B-Instruct/temp0.7/meta-llama_Llama-3.1-8B-Instruct_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500.csv","stylistic_clustering_resample","disguising/scores","meta-llama/Llama-3.1-8B-Instruct","mistralai/Mistral-7B-Instruct-v0.3","false","disguising-method-scoring","0.7821350762527233","1","0.9128540305010894","0.673202614379085","0.9455337690631808","0.9978213507625272","0.8126361655773421","0.9803921568627452","0.869281045751634","0.9912854030501088","0.7363834422657952","0.5816993464052288","0.673202614379085","0.6230936819172114","0.7647058823529411","0.6427015250544662","0.9281045751633988","0.9782135076252724","0.9956427015250544","0.9302832244008714","0.840958605664488","0.822875816993464","0.018082788671023975","0.021975112523166543","0.5102909028513588","0","0","3.0501089324618738","6.041394335511982","0.775599128540305","1","0.7777777777777778","0.925925925925926","1","0.7799564270152506","0.6535947712418301","0.9803921568627452","0.9455337690631808","0.9869281045751634","0.6274509803921569","0.7407407407407407","0.4880174291938998","0.6339869281045751","0.7538126361655774","0.690631808278867","0.8474945533769063","0.9651416122004356","0.9978213507625272","0.8867102396514162","2.318082788671024"
"Qwen_Qwen2.5-VL-7B-Instruct_disguised-OpenGVLab_InternVL3-8B_responses-500","finished","-","","updated","2025-05-16T08:49:56.000Z","195","","false","disguising/model-responses/disguised/stylistic_clustering_resample/Qwen_Qwen2.5-VL-7B-Instruct/temp0.7/Qwen_Qwen2.5-VL-7B-Instruct_disguised-OpenGVLab_InternVL3-8B_responses-500.csv","stylistic_clustering_resample","disguising/scores","Qwen/Qwen2.5-VL-7B-Instruct","OpenGVLab/InternVL3-8B","false","disguising-method-scoring","0.7926829268292683","1","0.8353658536585366","0.758130081300813","0.9410569105691056","0.9939024390243902","0.6707317073170732","0.9776422764227642","0.8394308943089431","0.9959349593495936","0.6626016260162602","0.717479674796748","0.6524390243902439","0.6524390243902439","0.9715447154471544","0.6158536585365854","0.9410569105691056","0.945121951219512","0.9857723577235772","0.9613821138211384","0.845528455284553","0.8496951219512197","-0.004166666666666652","-0.00490371965075946","0.4360860856932503","4","2","3.15071283095723","6.8153061224489795","0.782520325203252","1","0.7195121951219512","0.9369918699186992","0.9979674796747968","0.8373983739837398","0.7682926829268293","0.9939024390243902","0.7947154471544715","0.9898373983739838","0.6341463414634146","0.758130081300813","0.6707317073170732","0.6626016260162602","0.8983739837398373","0.6910569105691057","0.9390243902439024","0.9573170731707316","0.9898373983739838","0.9715447154471544","2.4175152749490834"
"OpenGVLab_InternVL3-8B_disguised-OpenGVLab_InternVL3-8B_responses-500","finished","-","","updated","2025-05-16T08:49:56.000Z","246","","false","disguising/model-responses/disguised/stylistic_clustering/OpenGVLab_InternVL3-8B/temp0.7/OpenGVLab_InternVL3-8B_disguised-OpenGVLab_InternVL3-8B_responses-500.csv","stylistic_clustering","disguising/scores","OpenGVLab/InternVL3-8B","OpenGVLab/InternVL3-8B","false","disguising-method-scoring","0.7806841046277666","1","0.6579476861167002","0.7706237424547284","0.9416498993963782","0.9919517102615694","0.7746478873239436","0.9899396378269618","0.7022132796780685","0.9839034205231388","0.5513078470824949","0.8289738430583501","0.5633802816901409","0.6519114688128773","0.96579476861167","0.6659959758551308","0.9114688128772636","0.977867203219316","0.9879275653923542","0.9637826961770624","0.8330985915492958","0.8985915492957748","-0.06549295774647901","-0.0728840125391851","0.6500183595382205","2","1","3.254032258064516","7.090725806451613","0.8088531187122736","1","0.7585513078470825","0.943661971830986","1","0.9396378269617708","0.8812877263581489","1","0.8490945674044266","0.9879275653923542","0.6680080482897385","0.9114688128772636","0.716297786720322","0.7645875251509054","0.977867203219316","0.8028169014084507","0.9637826961770624","1","0.9979879275653925","1","2.4274193548387095"
"microsoft_Phi-4-mini-instruct_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","finished","-","","updated","2025-05-16T08:48:53.000Z","336","","false","disguising/model-responses/disguised/stylistic_clustering_resample/microsoft_Phi-4-mini-instruct/temp0.7/microsoft_Phi-4-mini-instruct_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500.csv","stylistic_clustering_resample","disguising/scores","microsoft/Phi-4-mini-instruct","meta-llama/Llama-3.1-8B-Instruct","false","disguising-method-scoring","0.7775510204081633","1","0.8857142857142857","0.753061224489796","0.9612244897959183","0.9897959183673468","0.7122448979591837","0.973469387755102","0.9653061224489796","0.9938775510204082","0.7","0.7163265306122449","0.7142857142857143","0.7163265306122449","0.9326530612244898","0.5489795918367347","0.8938775510204081","0.946938775510204","1","0.8959183673469387","0.8538775510204083","0.8559183673469389","-0.0020408163265306367","-0.0023843586075346012","0.402102748521417","3","2","3.0869120654396727","6.207991803278689","0.7571428571428571","1","0.8142857142857143","0.9571428571428572","1","0.826530612244898","0.7081632653061225","0.979591836734694","0.9346938775510204","0.9897959183673468","0.6551020408163265","0.7938775510204081","0.7244897959183674","0.7183673469387755","0.8816326530612245","0.6510204081632653","0.889795918367347","0.946938775510204","0.9979591836734694","0.8918367346938776","2.301635991820041"
"OpenGVLab_InternVL3-8B_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","finished","-","","updated","2025-05-16T08:47:47.000Z","256","","false","disguising/model-responses/disguised/stylistic_clustering_resample/OpenGVLab_InternVL3-8B/temp0.7/OpenGVLab_InternVL3-8B_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500.csv","stylistic_clustering_resample","disguising/scores","OpenGVLab/InternVL3-8B","meta-llama/Llama-3.1-8B-Instruct","false","disguising-method-scoring","0.7408163265306122","1","0.6918367346938775","0.6408163265306123","0.9448979591836736","0.9897959183673468","0.7142857142857143","0.9673469387755104","0.8204081632653061","0.9918367346938776","0.6163265306122448","0.7836734693877551","0.6142857142857143","0.7183673469387755","0.9489795918367347","0.6183673469387755","0.8285714285714286","0.9693877551020408","0.9979591836734694","0.8918367346938776","0.8244897959183675","0.8405102040816328","-0.01602040816326533","-0.01906033750151757","0.6730899244381504","1","3","3.044147843942505","6.1186475409836065","0.7346938775510204","1","0.6938775510204082","0.9489795918367347","0.9979591836734694","0.736734693877551","0.7122448979591837","0.9836734693877552","0.7775510204081633","0.9877551020408164","0.6244897959183674","0.8367346938775511","0.6795918367346939","0.7346938775510204","0.9224489795918368","0.6979591836734694","0.8959183673469387","0.9571428571428572","0.9877551020408164","0.9","2.239219712525667"
