style_function,response1,response2,match
ALL CAPS,0.23647294589178355,0.37675350701402804,0.7675350701402806
Blockquotes,0.0,0.0,1.0
Bullets,0.022044088176352707,0.23647294589178355,0.7735470941883767
Code Formatting,0.04408817635270541,0.10821643286573146,0.9278557114228457
Emojis,0.004008016032064128,0.004008016032064128,1.0
Exclamations,0.1743486973947896,0.1062124248496994,0.7715430861723447
First-Person Pronouns,0.36072144288577157,0.501002004008016,0.655310621242485
Greeting (Start),0.026052104208416832,0.012024048096192385,0.9819639278557114
Header/Title,0.006012024048096192,0.05811623246492986,0.9478957915831663
Links,0.008016032064128256,0.008016032064128256,0.9879759519038076
List,0.2685370741482966,0.5731462925851704,0.6232464929859719
Long Sentences,0.20841683366733466,0.1903807615230461,0.7414829659318637
Markdown,0.1623246492985972,0.6432865731462926,0.48296593186372744
Math Symbols,0.49899799599198397,0.7735470941883767,0.6292585170340681
Numbered Steps,0.218436873747495,0.09619238476953908,0.749498997995992
Parentheses,0.5971943887775552,0.5110220440881763,0.6893787575150301
Questions,0.06412825651302605,0.18837675350701402,0.8517034068136272
Repetition,0.9939879759519038,0.9659318637274549,0.9679358717434869
Sign-off (End),0.004008016032064128,0.0,0.9959919839679359
Starts with List,0.06212424849699399,0.08817635270541083,0.8897795591182365
