"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","data_dir","disguise_as","enable_thinking","max_prompt_tokens","max_tokens","method","metric.goal","metric.name","model","num_samples","output_dir","parameters.disguise_as.distribution","parameters.disguise_ass","parameters.method.distribution","parameters.methods","parameters.model.distribution","parameters.models","parameters.num_samples.distribution","parameters.num_samples","parameters.tensor_parallel_size.distribution","parameters.tensor_parallel_size","program","temperature","tensor_parallel_size","test","top_p","ALL CAPS","Blockquotes","Bullets","Code Formatting","Emojis","Exclamations","First-Person Pronouns","Greeting (Start)","Header/Title","Links","List","Long Sentences","Markdown","Math Symbols","Numbered Steps","Parentheses","Questions","Repetition","Sign-off (End)","Starts with List","average_disguised_response_token_length","average_distance_disguise_target","average_distance_source_target","diff_avg_embedding_distance","heuristic_avg_score","heuristic_avg_score_source_target","heuristic_diff","heuristic_diff_normalized","length_diff","source_target_ALL CAPS","source_target_Blockquotes","source_target_Bullets","source_target_Code Formatting","source_target_Emojis","source_target_Exclamations","source_target_First-Person Pronouns","source_target_Greeting (Start)","source_target_Header/Title","source_target_Links","source_target_List","source_target_Long Sentences","source_target_Markdown","source_target_Math Symbols","source_target_Numbered Steps","source_target_Parentheses","source_target_Questions","source_target_Repetition","source_target_Sign-off (End)","source_target_Starts with List"
"Qwen_Qwen2.5-VL-7B-Instruct_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500","","finished","-","","","2025-07-25T01:25:50.000Z","1352","7kuzc2yt","disguising/model-responses/base_500_all_models","Qwen/Qwen2.5-VL-7B-Instruct","false","4096","8000","embedding_clustering","","","Qwen/Qwen2.5-VL-7B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.824","1","0.788","0.976","0.978","0.848","0.758","0.984","0.84","0.994","0.75","0.73","0.78","0.82","0.892","0.752","0.914","0.942","0.998","0.978","399.438","0.5913647179579389","0.0007283436240524747","-0.9975397663937948","0.8773","1","-0.12270000000000005","-0.12270000000000005","-0.17035815478969052","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"meta-llama_Llama-3.1-8B-Instruct_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500","","finished","-","","","2025-07-25T01:25:36.000Z","1512","7kuzc2yt","disguising/model-responses/base_500_all_models","Qwen/Qwen2.5-VL-7B-Instruct","false","4096","8000","embedding_clustering","","","meta-llama/Llama-3.1-8B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.792","1","0.724","0.974","1","0.832","0.726","0.986","0.68","0.992","0.694","0.734","0.762","0.808","0.878","0.732","0.88","0.948","1","0.934","495.166","0.6431932553229499","0.6362904464913297","-0.005394995514075068","0.8538000000000002","0.8528000000000002","0.0010000000000000009","0.001172607879924954","0.16909190098597668","0.772","1","0.732","0.976","1","0.81","0.686","0.978","0.824","0.998","0.73","0.768","0.724","0.824","0.822","0.706","0.84","0.952","1","0.914"
"microsoft_Phi-4-mini-instruct_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500","","finished","-","","","2025-07-25T01:18:25.000Z","1223","7kuzc2yt","disguising/model-responses/base_500_all_models","Qwen/Qwen2.5-VL-7B-Instruct","false","4096","8000","embedding_clustering","","","microsoft/Phi-4-mini-instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.788","1","0.78","0.982","0.994","0.848","0.696","0.986","0.822","0.996","0.718","0.736","0.748","0.804","0.876","0.77","0.9","0.946","1","0.956","293.756","0.649877539149854","0.6136280608305985","-0.028689606377539065","0.8673","0.8829","-0.015600000000000058","-0.017669045191981037","-0.2083109595763908","0.82","1","0.78","0.988","1","0.888","0.736","0.982","0.834","0.996","0.808","0.762","0.796","0.814","0.848","0.774","0.924","0.954","0.998","0.956"
"mistralai_Mistral-7B-Instruct-v0.3_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500","","finished","-","","","2025-07-25T01:14:30.000Z","1369","7kuzc2yt","disguising/model-responses/base_500_all_models","Qwen/Qwen2.5-VL-7B-Instruct","false","4096","8000","embedding_clustering","","","mistralai/Mistral-7B-Instruct-v0.3","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.792","0.994","0.704","0.986","0.996","0.852","0.642","0.986","0.786","0.986","0.708","0.73","0.722","0.774","0.764","0.706","0.932","0.958","1","0.972","308.866","0.6411473666452479","0.6228260216617123","-0.0144950401274478","0.8495000000000001","0.8489999999999999","0.000500000000000278","0.0005889281507659341","-0.07177441498034076","0.818","0.998","0.756","0.98","0.998","0.854","0.726","0.988","0.808","0.982","0.706","0.74","0.624","0.744","0.69","0.744","0.92","0.96","0.996","0.948"
"OpenGVLab_InternVL3-8B_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500","","finished","-","","","2025-07-25T01:13:33.000Z","1521","7kuzc2yt","disguising/model-responses/base_500_all_models","Qwen/Qwen2.5-VL-7B-Instruct","false","4096","8000","embedding_clustering","","","OpenGVLab/InternVL3-8B","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.802","1","0.58","0.98","0.994","0.87","0.716","0.988","0.552","0.998","0.666","0.752","0.716","0.818","0.89","0.754","0.912","0.964","0.994","0.98","645.572","0.6004685699384513","0.5787952719051647","-0.01837866749090132","0.8463","0.8843","-0.03799999999999992","-0.04297184213502196","0.31806389277585856","0.816","1","0.748","0.982","0.998","0.822","0.768","0.994","0.846","0.994","0.806","0.786","0.796","0.832","0.882","0.784","0.916","0.956","0.988","0.972"
"Qwen_Qwen2.5-VL-7B-Instruct_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","","finished","-","","","2025-07-25T01:08:10.000Z","1322","7kuzc2yt","disguising/model-responses/base_500_all_models","meta-llama/Llama-3.1-8B-Instruct","false","4096","8000","embedding_clustering","","","Qwen/Qwen2.5-VL-7B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.798","1","0.778","0.976","1","0.828","0.662","0.982","0.934","0.996","0.688","0.662","0.714","0.786","0.902","0.708","0.866","0.936","0.998","0.91","314.572","0.6378028873838887","0.6363125510858528","-0.0011697027231895112","0.8562000000000001","0.8528000000000002","0.0033999999999998476","0.003986866791744661","-0.17531540942192397","0.772","1","0.732","0.976","1","0.81","0.686","0.978","0.824","0.998","0.73","0.768","0.724","0.824","0.822","0.706","0.84","0.952","1","0.914"
"meta-llama_Llama-3.1-8B-Instruct_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","","finished","-","","","2025-07-25T01:08:02.000Z","1432","7kuzc2yt","disguising/model-responses/base_500_all_models","meta-llama/Llama-3.1-8B-Instruct","false","4096","8000","embedding_clustering","","","meta-llama/Llama-3.1-8B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.82","1","0.766","0.976","0.998","0.894","0.686","0.994","0.932","0.994","0.746","0.706","0.776","0.83","0.894","0.77","0.842","0.976","1","0.926","499.18","0.582455738353072","0.0010388480896506666","-0.9964392194416608","0.8763","1","-0.12370000000000005","-0.12370000000000005","0.2538267251521941","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"microsoft_Phi-4-mini-instruct_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","","finished","-","","","2025-07-25T01:07:06.000Z","1274","7kuzc2yt","disguising/model-responses/base_500_all_models","meta-llama/Llama-3.1-8B-Instruct","false","4096","8000","embedding_clustering","","","microsoft/Phi-4-mini-instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.736","1","0.764","0.968","1","0.764","0.688","0.974","0.94","0.992","0.656","0.692","0.614","0.738","0.822","0.726","0.848","0.936","0.996","0.788","270.404","0.6962685110236189","0.642758726504078","-0.03996168488576701","0.8321","0.8619000000000001","-0.02980000000000016","-0.0345747766562248","-0.26351688961902137","0.788","1","0.728","0.98","1","0.802","0.67","0.98","0.93","0.994","0.75","0.79","0.752","0.806","0.854","0.744","0.836","0.946","0.998","0.89"
"mistralai_Mistral-7B-Instruct-v0.3_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","","finished","-","","","2025-07-25T01:05:57.000Z","510","7kuzc2yt","disguising/model-responses/base_500_all_models","meta-llama/Llama-3.1-8B-Instruct","false","4096","8000","embedding_clustering","","","mistralai/Mistral-7B-Instruct-v0.3","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.788","1","0.752","0.96","0.996","0.822","0.652","0.988","0.938","0.986","0.694","0.734","0.714","0.746","0.874","0.724","0.846","0.95","0.998","0.892","302.24","0.668431765899497","0.6508451297388826","-0.013330511751367","0.8526999999999999","0.8371999999999999","0.015499999999999958","0.018514094601051075","-0.1442511733631494","0.81","0.998","0.768","0.968","0.998","0.776","0.676","0.982","0.956","0.98","0.684","0.744","0.552","0.756","0.684","0.706","0.852","0.968","0.996","0.89"
"OpenGVLab_InternVL3-8B_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","","finished","-","","","2025-07-25T01:02:01.000Z","1421","7kuzc2yt","disguising/model-responses/base_500_all_models","meta-llama/Llama-3.1-8B-Instruct","false","4096","8000","embedding_clustering","","","OpenGVLab/InternVL3-8B","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.796","1","0.72","0.976","0.994","0.746","0.714","0.952","0.85","0.992","0.774","0.802","0.792","0.846","0.896","0.76","0.856","0.964","1","0.916","467.936","0.6028984313796234","0.6126572461219942","0.008028274576799752","0.8673","0.8643000000000001","0.0029999999999998916","0.0034710170079832133","0.12253464377144505","0.792","1","0.72","0.974","0.998","0.728","0.702","0.984","0.794","0.992","0.796","0.806","0.804","0.852","0.88","0.766","0.852","0.956","0.988","0.902"
