"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","data_dir","disguise_as","enable_thinking","max_prompt_tokens","max_tokens","method","metric.goal","metric.name","model","num_samples","output_dir","parameters.disguise_as.distribution","parameters.disguise_ass","parameters.method.distribution","parameters.methods","parameters.model.distribution","parameters.models","parameters.num_samples.distribution","parameters.num_samples","parameters.tensor_parallel_size.distribution","parameters.tensor_parallel_size","program","temperature","tensor_parallel_size","test","top_p","ALL CAPS","Blockquotes","Bullets","Code Formatting","Emojis","Exclamations","First-Person Pronouns","Greeting (Start)","Header/Title","Links","List","Long Sentences","Markdown","Math Symbols","Numbered Steps","Parentheses","Questions","Repetition","Sign-off (End)","Starts with List","average_disguised_response_token_length","average_distance_disguise_target","average_distance_source_target","diff_avg_embedding_distance","heuristic_avg_score","heuristic_avg_score_source_target","heuristic_diff","heuristic_diff_normalized","length_diff","source_target_ALL CAPS","source_target_Blockquotes","source_target_Bullets","source_target_Code Formatting","source_target_Emojis","source_target_Exclamations","source_target_First-Person Pronouns","source_target_Greeting (Start)","source_target_Header/Title","source_target_Links","source_target_List","source_target_Long Sentences","source_target_Markdown","source_target_Math Symbols","source_target_Numbered Steps","source_target_Parentheses","source_target_Questions","source_target_Repetition","source_target_Sign-off (End)","source_target_Starts with List"
"Qwen_Qwen2.5-VL-7B-Instruct_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500","","finished","-","","","2025-07-24T23:21:37.000Z","924","9xmkus9p","disguising/model-responses/base_500_all_models","Qwen/Qwen2.5-VL-7B-Instruct","false","4096","8000","random_sample_5_examples","","","Qwen/Qwen2.5-VL-7B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.842","1","0.786","0.976","0.998","0.862","0.77","0.984","0.842","0.992","0.696","0.7","0.734","0.778","0.896","0.786","0.924","0.968","1","0.98","280.982","0.5728749376285552","0.0006594640169473329","-0.9977003506152192","0.8756999999999999","1","-0.12430000000000008","-0.12430000000000008","-0.23687310943394516","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"meta-llama_Llama-3.1-8B-Instruct_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500","","finished","-","","","2025-07-24T23:09:59.000Z","959","9xmkus9p","disguising/model-responses/base_500_all_models","Qwen/Qwen2.5-VL-7B-Instruct","false","4096","8000","random_sample_5_examples","","","meta-llama/Llama-3.1-8B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.794","1","0.764","0.972","0.994","0.852","0.688","0.982","0.78","0.996","0.646","0.674","0.706","0.774","0.87","0.742","0.866","0.936","1","0.948","411.646","0.662856583123905","0.6363092407765322","-0.0204341446326465","0.8492000000000001","0.8528000000000002","-0.003600000000000158","-0.004221388367730016","0.045083950358880714","0.772","1","0.732","0.976","1","0.81","0.686","0.978","0.824","0.998","0.73","0.768","0.724","0.824","0.822","0.706","0.84","0.952","1","0.914"
"microsoft_Phi-4-mini-instruct_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500","","finished","-","","","2025-07-24T23:07:02.000Z","868","9xmkus9p","disguising/model-responses/base_500_all_models","Qwen/Qwen2.5-VL-7B-Instruct","false","4096","8000","random_sample_5_examples","","","microsoft/Phi-4-mini-instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.784","1","0.75","0.972","0.998","0.836","0.712","0.98","0.814","0.994","0.666","0.68","0.702","0.782","0.854","0.732","0.912","0.944","1","0.964","267.148","0.6560847334948542","0.6136435315857776","-0.0334254210733676","0.8538","0.8829","-0.029100000000000015","-0.03295956506965683","-0.26697073404153987","0.82","1","0.78","0.988","1","0.888","0.736","0.982","0.834","0.996","0.808","0.762","0.796","0.814","0.848","0.774","0.924","0.954","0.998","0.956"
"mistralai_Mistral-7B-Instruct-v0.3_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500","","finished","-","","","2025-07-24T22:54:03.000Z","947","9xmkus9p","disguising/model-responses/base_500_all_models","Qwen/Qwen2.5-VL-7B-Instruct","false","4096","8000","random_sample_5_examples","","","mistralai/Mistral-7B-Instruct-v0.3","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.8","0.998","0.734","0.978","0.998","0.838","0.708","0.982","0.806","0.996","0.626","0.682","0.652","0.754","0.814","0.708","0.904","0.956","1","0.958","270.054","0.6669132488976963","0.6228077342445455","-0.034197718134114034","0.8446","0.8489999999999999","-0.0043999999999998485","-0.005182567726737161","-0.14696047864565737","0.818","0.998","0.756","0.98","0.998","0.854","0.726","0.988","0.808","0.982","0.706","0.74","0.624","0.744","0.69","0.744","0.92","0.96","0.996","0.948"
"OpenGVLab_InternVL3-8B_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500","","finished","-","","","2025-07-24T22:50:00.000Z","1015","9xmkus9p","disguising/model-responses/base_500_all_models","Qwen/Qwen2.5-VL-7B-Instruct","false","4096","8000","random_sample_5_examples","","","OpenGVLab/InternVL3-8B","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.83","1","0.734","0.978","0.992","0.778","0.75","0.974","0.81","0.994","0.768","0.758","0.772","0.826","0.898","0.774","0.914","0.964","0.996","0.978","439.41","0.5903111596826877","0.5787816248314589","-0.009861950226662483","0.8744","0.8843","-0.00990000000000002","-0.01119529571412419","0.06593177972164785","0.816","1","0.748","0.982","0.998","0.822","0.768","0.994","0.846","0.994","0.806","0.786","0.796","0.832","0.882","0.784","0.916","0.956","0.988","0.972"
"Qwen_Qwen2.5-VL-7B-Instruct_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","","finished","-","","","2025-07-24T22:17:21.000Z","984","9xmkus9p","disguising/model-responses/base_500_all_models","meta-llama/Llama-3.1-8B-Instruct","false","4096","8000","random_sample_5_examples","","","Qwen/Qwen2.5-VL-7B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.776","1","0.766","0.976","1","0.824","0.678","0.98","0.908","0.994","0.69","0.672","0.72","0.78","0.896","0.688","0.856","0.936","1","0.898","300.844","0.6500492216549207","0.6363170544765648","-0.010675161058833815","0.8519","0.8528000000000002","-0.000900000000000234","-0.001055347091932732","-0.2196635855907993","0.772","1","0.732","0.976","1","0.81","0.686","0.978","0.824","0.998","0.73","0.768","0.724","0.824","0.822","0.706","0.84","0.952","1","0.914"
"meta-llama_Llama-3.1-8B-Instruct_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","","finished","-","","","2025-07-24T22:09:02.000Z","887","9xmkus9p","disguising/model-responses/base_500_all_models","meta-llama/Llama-3.1-8B-Instruct","false","4096","8000","random_sample_5_examples","","","meta-llama/Llama-3.1-8B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.8","1","0.786","0.964","1","0.89","0.72","0.99","0.922","0.996","0.74","0.704","0.746","0.818","0.892","0.746","0.826","0.946","1","0.904","399.456","0.6207088100512165","0.0006890461198360715","-0.9977822706885991","0.8694999999999998","1","-0.13050000000000017","-0.13050000000000017","0.08382324570726846","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"microsoft_Phi-4-mini-instruct_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","","finished","-","","","2025-07-24T22:02:46.000Z","866","9xmkus9p","disguising/model-responses/base_500_all_models","meta-llama/Llama-3.1-8B-Instruct","false","4096","8000","random_sample_5_examples","","","microsoft/Phi-4-mini-instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.786","1","0.766","0.978","1","0.784","0.7","0.978","0.962","0.994","0.664","0.708","0.678","0.73","0.862","0.724","0.85","0.94","0.998","0.866","280.16","0.6815463816310605","0.6427626333394848","-0.029286026035576243","0.8484","0.8619000000000001","-0.013500000000000068","-0.015663069961712572","-0.2725579389105414","0.788","1","0.728","0.98","1","0.802","0.67","0.98","0.93","0.994","0.75","0.79","0.752","0.806","0.854","0.744","0.836","0.946","0.998","0.89"
"mistralai_Mistral-7B-Instruct-v0.3_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","","finished","-","","","2025-07-24T21:53:42.000Z","914","9xmkus9p","disguising/model-responses/base_500_all_models","meta-llama/Llama-3.1-8B-Instruct","false","4096","8000","random_sample_5_examples","","","mistralai/Mistral-7B-Instruct-v0.3","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.742","1","0.746","0.954","0.992","0.804","0.676","0.978","0.944","0.986","0.62","0.68","0.642","0.716","0.83","0.67","0.846","0.954","1","0.89","276","0.6793020344869543","0.6508603051972038","-0.021382148961234155","0.8335000000000001","0.8371999999999999","-0.0036999999999998145","-0.004419493549928111","-0.15084772943248242","0.81","0.998","0.768","0.968","0.998","0.776","0.676","0.982","0.956","0.98","0.684","0.744","0.552","0.756","0.684","0.706","0.852","0.968","0.996","0.89"
"OpenGVLab_InternVL3-8B_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","","finished","-","","","2025-07-24T21:48:37.000Z","841","9xmkus9p","disguising/model-responses/base_500_all_models","meta-llama/Llama-3.1-8B-Instruct","false","4096","8000","random_sample_5_examples","","","OpenGVLab/InternVL3-8B","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.804","1","0.678","0.968","0.99","0.736","0.694","0.958","0.776","0.994","0.726","0.81","0.762","0.846","0.892","0.716","0.844","0.968","1","0.9","443.446","0.6203963904526922","0.6126569970799279","-0.00627660849969447","0.8530999999999999","0.8643000000000001","-0.01120000000000021","-0.012958463496471374","0.1194046779814387","0.792","1","0.72","0.974","0.998","0.728","0.702","0.984","0.794","0.992","0.796","0.806","0.804","0.852","0.88","0.766","0.852","0.956","0.988","0.902"
