style_function,response1,response2,match
ALL CAPS,0.19230769230769232,0.3360323886639676,0.7834008097165992
Blockquotes,0.0,0.0020242914979757085,0.9979757085020243
Bullets,0.06072874493927125,0.038461538461538464,0.9210526315789473
Code Formatting,0.03643724696356275,0.09109311740890688,0.9412955465587044
Emojis,0.004048582995951417,0.006072874493927126,0.9979757085020243
Exclamations,0.13562753036437247,0.21052631578947367,0.8481781376518218
First-Person Pronouns,0.2631578947368421,0.41700404858299595,0.7004048582995951
Greeting (Start),0.022267206477732792,0.02631578947368421,0.9878542510121457
Header/Title,0.07894736842105263,0.024291497975708502,0.9048582995951417
Links,0.0,0.016194331983805668,0.9838056680161943
List,0.24696356275303644,0.3643724696356275,0.680161943319838
Long Sentences,0.15789473684210525,0.2611336032388664,0.7307692307692307
Markdown,0.291497975708502,0.242914979757085,0.7246963562753036
Math Symbols,0.46153846153846156,0.6497975708502024,0.6012145748987854
Numbered Steps,0.06882591093117409,0.29959514170040485,0.7004048582995951
Parentheses,0.6659919028340081,0.4493927125506073,0.6538461538461539
Questions,0.08502024291497975,0.07894736842105263,0.9291497975708503
Repetition,0.9534412955465587,0.9939271255060729,0.9595141700404858
Sign-off (End),0.0,0.004048582995951417,0.9959514170040485
Starts with List,0.030364372469635626,0.06275303643724696,0.9473684210526315
