style_function,response1,response2,match
ALL CAPS,0.34004024144869216,0.22736418511066397,0.7545271629778671
Blockquotes,0.0,0.0,1.0
Bullets,0.17706237424547283,0.07243460764587525,0.7987927565392354
Code Formatting,0.09054325955734406,0.05432595573440644,0.9557344064386318
Emojis,0.004024144869215292,0.004024144869215292,1.0
Exclamations,0.03822937625754527,0.026156941649899398,0.9476861167002012
First-Person Pronouns,0.4768611670020121,0.36619718309859156,0.6841046277665996
Greeting (Start),0.006036217303822937,0.012072434607645875,0.9859154929577465
Header/Title,0.13279678068410464,0.026156941649899398,0.8611670020120724
Links,0.004024144869215292,0.0,0.9959758551307847
List,0.4124748490945674,0.3299798792756539,0.635814889336016
Long Sentences,0.3983903420523139,0.10462776659959759,0.6297786720321932
Markdown,0.744466800804829,0.46680080482897385,0.5774647887323944
Math Symbols,0.8511066398390342,0.6277665995975855,0.6841046277665996
Numbered Steps,0.04225352112676056,0.04426559356136821,0.9255533199195171
Parentheses,0.36016096579476864,0.7243460764587525,0.5754527162977867
Questions,0.12072434607645875,0.11871227364185111,0.8611670020120724
Repetition,0.9778672032193159,0.96579476861167,0.9678068410462777
Sign-off (End),0.0,0.0,1.0
Starts with List,0.018108651911468814,0.08651911468812877,0.9074446680080482
