style_function,response1,response2,match
ALL CAPS,0.29817444219066935,0.2231237322515213,0.7829614604462475
Blockquotes,0.0,0.0,1.0
Bullets,0.10547667342799188,0.07302231237322515,0.8742393509127789
Code Formatting,0.0973630831643002,0.05070993914807302,0.9533468559837728
Emojis,0.008113590263691683,0.004056795131845842,0.9959432048681541
Exclamations,0.20689655172413793,0.02636916835699797,0.795131845841785
First-Person Pronouns,0.29006085192697767,0.3691683569979716,0.7505070993914807
Greeting (Start),0.02434077079107505,0.012170385395537525,0.9716024340770791
Header/Title,0.11561866125760649,0.02636916835699797,0.8945233265720081
Links,0.006085192697768763,0.0,0.9939148073022313
List,0.359026369168357,0.332657200811359,0.6977687626774848
Long Sentences,0.3002028397565923,0.10547667342799188,0.6876267748478702
Markdown,0.5010141987829615,0.4645030425963489,0.6754563894523327
Math Symbols,0.6693711967545639,0.6288032454361054,0.7119675456389453
Numbered Steps,0.02028397565922921,0.04462474645030426,0.947261663286004
Parentheses,0.30628803245436104,0.7221095334685599,0.539553752535497
Questions,0.11764705882352941,0.11967545638945233,0.896551724137931
Repetition,0.9432048681541582,0.9655172413793104,0.9411764705882353
Sign-off (End),0.002028397565922921,0.0,0.9979716024340771
Starts with List,0.028397565922920892,0.08924949290060852,0.8985801217038539
