style_function,response1,response2,match
ALL CAPS,0.2231237322515213,0.3184584178498986,0.7626774847870182
Blockquotes,0.0,0.0,1.0
Bullets,0.07302231237322515,0.25963488843813387,0.744421906693712
Code Formatting,0.05070993914807302,0.09330628803245436,0.9574036511156186
Emojis,0.004056795131845842,0.004056795131845842,1.0
Exclamations,0.02636916835699797,0.1643002028397566,0.8336713995943205
First-Person Pronouns,0.3691683569979716,0.3448275862068966,0.7403651115618661
Greeting (Start),0.012170385395537525,0.02231237322515213,0.9776876267748479
Header/Title,0.02636916835699797,0.2129817444219067,0.8052738336713996
Links,0.0,0.010141987829614604,0.9898580121703854
List,0.332657200811359,0.537525354969574,0.6288032454361054
Long Sentences,0.10547667342799188,0.2616632860040568,0.7464503042596349
Markdown,0.4645030425963489,0.5476673427991886,0.6815415821501014
Math Symbols,0.6288032454361054,0.7119675456389453,0.7342799188640974
Numbered Steps,0.04462474645030426,0.09939148073022312,0.8600405679513184
Parentheses,0.7221095334685599,0.45233265720081134,0.6328600405679513
Questions,0.11967545638945233,0.10344827586206896,0.9026369168356998
Repetition,0.9655172413793104,0.9533468559837728,0.9513184584178499
Sign-off (End),0.0,0.0,1.0
Starts with List,0.08924949290060852,0.028397565922920892,0.9148073022312373
