style_function,response1,response2,match
ALL CAPS,0.274,0.19,0.792
Blockquotes,0.0,0.0,1.0
Bullets,0.086,0.062,0.884
Code Formatting,0.078,0.036,0.954
Emojis,0.004,0.004,1.0
Exclamations,0.028,0.136,0.86
First-Person Pronouns,0.482,0.26,0.678
Greeting (Start),0.008,0.022,0.978
Header/Title,0.054,0.08,0.906
Links,0.004,0.0,0.996
List,0.26,0.248,0.688
Long Sentences,0.442,0.156,0.614
Markdown,0.426,0.294,0.644
Math Symbols,0.712,0.46,0.58
Numbered Steps,0.026,0.068,0.906
Parentheses,0.332,0.668,0.592
Questions,0.092,0.084,0.9
Repetition,0.934,0.954,0.928
Sign-off (End),0.0,0.0,1.0
Starts with List,0.084,0.03,0.922
