"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","data_dir","disguise_as","enable_thinking","max_prompt_tokens","max_tokens","method","metric.goal","metric.name","model","num_samples","output_dir","parameters.disguise_as.distribution","parameters.disguise_ass","parameters.method.distribution","parameters.methods","parameters.model.distribution","parameters.models","parameters.num_samples.distribution","parameters.num_samples","parameters.tensor_parallel_size.distribution","parameters.tensor_parallel_size","program","temperature","tensor_parallel_size","test","top_p","ALL CAPS","Blockquotes","Bullets","Code Formatting","Emojis","Exclamations","First-Person Pronouns","Greeting (Start)","Header/Title","Links","List","Long Sentences","Markdown","Math Symbols","Numbered Steps","Parentheses","Questions","Repetition","Sign-off (End)","Starts with List","average_disguised_response_token_length","average_distance_disguise_target","average_distance_source_target","diff_avg_embedding_distance","heuristic_avg_score","heuristic_avg_score_source_target","heuristic_diff","heuristic_diff_normalized","length_diff","source_target_ALL CAPS","source_target_Blockquotes","source_target_Bullets","source_target_Code Formatting","source_target_Emojis","source_target_Exclamations","source_target_First-Person Pronouns","source_target_Greeting (Start)","source_target_Header/Title","source_target_Links","source_target_List","source_target_Long Sentences","source_target_Markdown","source_target_Math Symbols","source_target_Numbered Steps","source_target_Parentheses","source_target_Questions","source_target_Repetition","source_target_Sign-off (End)","source_target_Starts with List"
"Qwen_Qwen2.5-VL-7B-Instruct_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500","","finished","-","","","2025-07-25T05:35:26.000Z","881","bygpji94","disguising/model-responses/base_500_all_models","Qwen/Qwen2.5-VL-7B-Instruct","false","4096","8000","stylistic_clustering","","","Qwen/Qwen2.5-VL-7B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.858","1","0.778","0.982","0.998","0.88","0.796","0.99","0.838","0.996","0.698","0.708","0.742","0.81","0.874","0.768","0.914","0.968","0.998","0.98","283.316","0.5676633103776948","0.0007982920205666626","-0.99719139510145","0.8788","1","-0.12119999999999996","-0.12119999999999996","-0.23166747570714372","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"meta-llama_Llama-3.1-8B-Instruct_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500","","finished","-","","","2025-07-25T05:35:23.000Z","924","bygpji94","disguising/model-responses/base_500_all_models","Qwen/Qwen2.5-VL-7B-Instruct","false","4096","8000","stylistic_clustering","","","meta-llama/Llama-3.1-8B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.794","1","0.758","0.976","1","0.848","0.716","0.986","0.822","0.998","0.668","0.716","0.698","0.776","0.848","0.736","0.896","0.96","1","0.934","293.344","0.6407759625870131","0.6363044057166326","-0.0035013903442271815","0.8565000000000002","0.8528000000000002","0.0036999999999999256","0.004338649155722238","-0.14651315914508023","0.772","1","0.732","0.976","1","0.81","0.686","0.978","0.824","0.998","0.73","0.768","0.724","0.824","0.822","0.706","0.84","0.952","1","0.914"
"microsoft_Phi-4-mini-instruct_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500","","finished","-","","","2025-07-25T05:35:04.000Z","873","bygpji94","disguising/model-responses/base_500_all_models","Qwen/Qwen2.5-VL-7B-Instruct","false","4096","8000","stylistic_clustering","","","microsoft/Phi-4-mini-instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.722","1","0.748","0.982","0.996","0.858","0.664","0.98","0.812","0.994","0.65","0.688","0.682","0.75","0.826","0.724","0.916","0.94","1","0.954","260.658","0.6713525260299695","0.6136281723375877","-0.04492235079150605","0.8442999999999999","0.8829","-0.03860000000000008","-0.04371956053913249","-0.3135284847832627","0.82","1","0.78","0.988","1","0.888","0.736","0.982","0.834","0.996","0.808","0.762","0.796","0.814","0.848","0.774","0.924","0.954","0.998","0.956"
"mistralai_Mistral-7B-Instruct-v0.3_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500","","finished","-","","","2025-07-25T05:34:32.000Z","874","bygpji94","disguising/model-responses/base_500_all_models","Qwen/Qwen2.5-VL-7B-Instruct","false","4096","8000","stylistic_clustering","","","mistralai/Mistral-7B-Instruct-v0.3","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.784","1","0.754","0.97","1","0.852","0.572","0.982","0.808","0.994","0.616","0.648","0.594","0.688","0.762","0.728","0.922","0.958","1","0.974","231.822","0.6635827265112232","0.6228242525072898","-0.03168396523705958","0.8302999999999999","0.8489999999999999","-0.01869999999999994","-0.02202591283863362","-0.20069431069313137","0.818","0.998","0.756","0.98","0.998","0.854","0.726","0.988","0.808","0.982","0.706","0.74","0.624","0.744","0.69","0.744","0.92","0.96","0.996","0.948"
"OpenGVLab_InternVL3-8B_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500","","finished","-","","","2025-07-25T05:24:19.000Z","793","bygpji94","disguising/model-responses/base_500_all_models","Qwen/Qwen2.5-VL-7B-Instruct","false","4096","8000","stylistic_clustering","","","OpenGVLab/InternVL3-8B","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.818","1","0.738","0.992","0.992","0.784","0.756","0.898","0.714","0.992","0.712","0.738","0.798","0.834","0.894","0.764","0.908","0.964","0.996","0.988","357.148","0.5872745614759453","0.5787960476080409","-0.007271012408557894","0.8639999999999999","0.8843","-0.020300000000000096","-0.022956010403709256","-0.03577572534773401","0.816","1","0.748","0.982","0.998","0.822","0.768","0.994","0.846","0.994","0.806","0.786","0.796","0.832","0.882","0.784","0.916","0.956","0.988","0.972"
"Qwen_Qwen2.5-VL-7B-Instruct_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","","finished","-","","","2025-07-25T05:24:10.000Z","938","bygpji94","disguising/model-responses/base_500_all_models","meta-llama/Llama-3.1-8B-Instruct","false","4096","8000","stylistic_clustering","","","Qwen/Qwen2.5-VL-7B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.76","1","0.772","0.972","0.998","0.824","0.688","0.98","0.938","0.994","0.664","0.644","0.686","0.734","0.902","0.674","0.858","0.938","1","0.898","279.56","0.6537255161637069","0.6363123653653605","-0.01349817012947462","0.8462000000000002","0.8528000000000002","-0.00660000000000005","-0.007739212007504747","-0.2676136595547037","0.772","1","0.732","0.976","1","0.81","0.686","0.978","0.824","0.998","0.73","0.768","0.724","0.824","0.822","0.706","0.84","0.952","1","0.914"
"meta-llama_Llama-3.1-8B-Instruct_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","","finished","-","","","2025-07-25T05:23:42.000Z","676","bygpji94","disguising/model-responses/base_500_all_models","meta-llama/Llama-3.1-8B-Instruct","false","4096","8000","stylistic_clustering","","","meta-llama/Llama-3.1-8B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.822","1","0.772","0.982","1","0.91","0.712","0.988","0.948","0.996","0.764","0.784","0.796","0.832","0.908","0.722","0.842","0.934","1","0.91","273.144","0.5890187071140294","0.0006638770183390929","-0.9977483580617666","0.8811","1","-0.1189","-0.1189","-0.22343805442283105","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"microsoft_Phi-4-mini-instruct_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","","finished","-","","","2025-07-25T05:21:19.000Z","838","bygpji94","disguising/model-responses/base_500_all_models","meta-llama/Llama-3.1-8B-Instruct","false","4096","8000","stylistic_clustering","","","microsoft/Phi-4-mini-instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.74","1","0.762","0.976","0.996","0.758","0.696","0.978","0.944","0.992","0.686","0.692","0.672","0.746","0.858","0.702","0.852","0.942","0.998","0.884","283.08","0.6811094830785703","0.642779759928699","-0.02895236391739525","0.8436999999999999","0.8619000000000001","-0.018200000000000216","-0.02111613876319783","-0.2658701808801855","0.788","1","0.728","0.98","1","0.802","0.67","0.98","0.93","0.994","0.75","0.79","0.752","0.806","0.854","0.744","0.836","0.946","0.998","0.89"
"mistralai_Mistral-7B-Instruct-v0.3_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","","finished","-","","","2025-07-25T05:20:50.000Z","890","bygpji94","disguising/model-responses/base_500_all_models","meta-llama/Llama-3.1-8B-Instruct","false","4096","8000","stylistic_clustering","","","mistralai/Mistral-7B-Instruct-v0.3","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.756","1","0.754","0.97","1","0.834","0.68","0.984","0.954","0.99","0.638","0.644","0.538","0.712","0.698","0.692","0.838","0.964","1","0.892","292.492","0.6618782217090857","0.6508595193415185","-0.008393681405661997","0.8269","0.8371999999999999","-0.010299999999999976","-0.012302914476827492","-0.054455869340462544","0.81","0.998","0.768","0.968","0.998","0.776","0.676","0.982","0.956","0.98","0.684","0.744","0.552","0.756","0.684","0.706","0.852","0.968","0.996","0.89"
"OpenGVLab_InternVL3-8B_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","","finished","-","","","2025-07-25T05:19:22.000Z","901","bygpji94","disguising/model-responses/base_500_all_models","meta-llama/Llama-3.1-8B-Instruct","false","4096","8000","stylistic_clustering","","","OpenGVLab/InternVL3-8B","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.796","1","0.586","0.978","0.984","0.804","0.68","0.982","0.95","0.994","0.752","0.822","0.694","0.8","0.898","0.724","0.528","0.964","0.998","0.91","464.568","0.6542611864436331","0.6126613064351784","-0.032835378835154985","0.8421999999999998","0.8643000000000001","-0.02210000000000023","-0.025569825292144195","0.15525959409048157","0.792","1","0.72","0.974","0.998","0.728","0.702","0.984","0.794","0.992","0.796","0.806","0.804","0.852","0.88","0.766","0.852","0.956","0.988","0.902"
