style_function,response1,response2,match
ALL CAPS,0.3106212424849699,0.23647294589178355,0.781563126252505
Blockquotes,0.0,0.0,1.0
Bullets,0.07014028056112225,0.022044088176352707,0.9278557114228457
Code Formatting,0.08016032064128256,0.04408817635270541,0.9478957915831663
Emojis,0.004008016032064128,0.004008016032064128,1.0
Exclamations,0.022044088176352707,0.1743486973947896,0.8196392785571143
First-Person Pronouns,0.34468937875751504,0.36072144288577157,0.6953907815631263
Greeting (Start),0.004008016032064128,0.026052104208416832,0.9779559118236473
Header/Title,0.056112224448897796,0.006012024048096192,0.9498997995991983
Links,0.006012024048096192,0.008016032064128256,0.9899799599198397
List,0.1963927855711423,0.2685370741482966,0.7474949899799599
Long Sentences,0.5130260521042084,0.20841683366733466,0.5711422845691383
Markdown,0.35070140280561124,0.1623246492985972,0.7555110220440882
Math Symbols,0.7354709418837675,0.49899799599198397,0.6392785571142284
Numbered Steps,0.02404809619238477,0.218436873747495,0.7695390781563126
Parentheses,0.35070140280561124,0.5971943887775552,0.625250501002004
Questions,0.08817635270541083,0.06412825651302605,0.9158316633266533
Repetition,0.9779559118236473,0.9939879759519038,0.9799599198396793
Sign-off (End),0.0,0.004008016032064128,0.9959919839679359
Starts with List,0.04408817635270541,0.06212424849699399,0.9258517034068137
