style_function,response1,response2,match
ALL CAPS,0.31462925851703405,0.22645290581162325,0.7875751503006012
Blockquotes,0.002004008016032064,0.0,0.9979959919839679
Bullets,0.04008016032064128,0.07214428857715431,0.9078156312625251
Code Formatting,0.0781563126252505,0.05410821643286573,0.9679358717434869
Emojis,0.008016032064128256,0.004008016032064128,0.9959919839679359
Exclamations,0.1523046092184369,0.026052104208416832,0.8496993987975952
First-Person Pronouns,0.42685370741482964,0.3667334669338677,0.7114228456913828
Greeting (Start),0.026052104208416832,0.012024048096192385,0.9739478957915831
Header/Title,0.02404809619238477,0.026052104208416832,0.9659318637274549
Links,0.014028056112224449,0.0,0.9859719438877755
List,0.3026052104208417,0.3306613226452906,0.7154308617234469
Long Sentences,0.43687374749499,0.10420841683366733,0.6032064128256514
Markdown,0.3627254509018036,0.46693386773547096,0.6833667334669339
Math Symbols,0.7194388777555111,0.6292585170340681,0.7014028056112225
Numbered Steps,0.10821643286573146,0.04408817635270541,0.875751503006012
Parentheses,0.38276553106212424,0.7254509018036072,0.5370741482965932
Questions,0.052104208416833664,0.11823647294589178,0.9018036072144289
Repetition,0.9959919839679359,0.9659318637274549,0.969939879759519
Sign-off (End),0.002004008016032064,0.0,0.9979959919839679
Starts with List,0.036072144288577156,0.08817635270541083,0.8957915831663327
