style_function,response1,response2,match
ALL CAPS,0.22857142857142856,0.3551020408163265,0.7346938775510204
Blockquotes,0.0,0.0,1.0
Bullets,0.06938775510204082,0.3224489795918367,0.6938775510204082
Code Formatting,0.05510204081632653,0.10204081632653061,0.9489795918367347
Emojis,0.004081632653061225,0.006122448979591836,0.9979591836734694
Exclamations,0.026530612244897958,0.2693877551020408,0.736734693877551
First-Person Pronouns,0.3653061224489796,0.37551020408163266,0.7122448979591837
Greeting (Start),0.012244897959183673,0.024489795918367346,0.9836734693877551
Header/Title,0.026530612244897958,0.24489795918367346,0.7775510204081633
Links,0.0,0.012244897959183673,0.9877551020408163
List,0.3306122448979592,0.6081632653061224,0.6244897959183674
Long Sentences,0.1,0.16938775510204082,0.8367346938775511
Markdown,0.4673469387755102,0.6489795918367347,0.6795918367346939
Math Symbols,0.6326530612244898,0.7755102040816326,0.7346938775510204
Numbered Steps,0.044897959183673466,0.04897959183673469,0.9224489795918367
Parentheses,0.7306122448979592,0.5224489795918368,0.6979591836734694
Questions,0.12040816326530612,0.11428571428571428,0.8959183673469387
Repetition,0.9673469387755103,0.9775510204081632,0.9571428571428572
Sign-off (End),0.0,0.012244897959183673,0.9877551020408163
Starts with List,0.08571428571428572,0.04285714285714286,0.9
