Name,heuristic_avg_score,semantic_score,stylistic_score,similarity_score_1_10,input_file_a,input_file_b,source,target
meta-llama_Llama-3.1-8B-Instruct_vs_meta-llama_Llama-3.1-8B-Instruct,1.0,4.0,3.9519038076152304,9.815662650602407,disguising/model-responses/base_500/meta-llama_Llama-3.1-8B-Instruct.csv,disguising/model-responses/base_500/meta-llama_Llama-3.1-8B-Instruct.csv,meta-llama_Llama-3.1-8B-Instruct,meta-llama_Llama-3.1-8B-Instruct
Qwen_Qwen2.5-1.5B-Instruct_vs_Qwen_Qwen2.5-1.5B-Instruct,1.0,4.0,3.957746478873239,9.865191146881289,disguising/model-responses/base_500/Qwen_Qwen2.5-1.5B-Instruct.csv,disguising/model-responses/base_500/Qwen_Qwen2.5-1.5B-Instruct.csv,Qwen_Qwen2.5-1.5B-Instruct,Qwen_Qwen2.5-1.5B-Instruct
OpenGVLab_InternVL3-8B_vs_OpenGVLab_InternVL3-8B,1.0,4.012096774193548,3.953629032258065,9.812525252525251,disguising/model-responses/base_500/OpenGVLab_InternVL3-8B.csv,disguising/model-responses/base_500/OpenGVLab_InternVL3-8B.csv,OpenGVLab_InternVL3-8B,OpenGVLab_InternVL3-8B
meta-llama_Llama-3.2-3B-Instruct_vs_meta-llama_Llama-3.2-3B-Instruct,1.0,3.997991967871486,3.9196787148594376,9.811670020120724,disguising/model-responses/base_500/meta-llama_Llama-3.2-3B-Instruct.csv,disguising/model-responses/base_500/meta-llama_Llama-3.2-3B-Instruct.csv,meta-llama_Llama-3.2-3B-Instruct,meta-llama_Llama-3.2-3B-Instruct
Qwen_Qwen3-8B_vs_Qwen_Qwen3-8B,1.0,3.9937965260545902,3.9069478908188575,9.579652605459057,disguising/model-responses/base_500/Qwen_Qwen3-8B.csv,disguising/model-responses/base_500/Qwen_Qwen3-8B.csv,Qwen_Qwen3-8B,Qwen_Qwen3-8B
microsoft_Phi-4-mini-reasoning_vs_microsoft_Phi-4-mini-reasoning,1.0,3.988142292490118,3.8873517786561274,9.532806324110672,disguising/model-responses/base_500/microsoft_Phi-4-mini-reasoning.csv,disguising/model-responses/base_500/microsoft_Phi-4-mini-reasoning.csv,microsoft_Phi-4-mini-reasoning,microsoft_Phi-4-mini-reasoning
google_gemma-3-1b-it_vs_google_gemma-3-1b-it,1.0,4.0,3.943661971830986,9.903024193548386,disguising/model-responses/base_500/google_gemma-3-1b-it.csv,disguising/model-responses/base_500/google_gemma-3-1b-it.csv,google_gemma-3-1b-it,google_gemma-3-1b-it
meta-llama_Llama-3-8B-Instruct_vs_meta-llama_Llama-3-8B-Instruct,1.0,4.0,3.9266802443991855,9.893699186991867,disguising/model-responses/base_500/meta-llama_Llama-3-8B-Instruct.csv,disguising/model-responses/base_500/meta-llama_Llama-3-8B-Instruct.csv,meta-llama_Llama-3-8B-Instruct,meta-llama_Llama-3-8B-Instruct
mistralai_Mistral-7B-Instruct-v0.3_vs_mistralai_Mistral-7B-Instruct-v0.3,1.0,4.0,3.97,9.8892,disguising/model-responses/base_500/mistralai_Mistral-7B-Instruct-v0.3.csv,disguising/model-responses/base_500/mistralai_Mistral-7B-Instruct-v0.3.csv,mistralai_Mistral-7B-Instruct-v0.3,mistralai_Mistral-7B-Instruct-v0.3
phi-4-multimodal-instruct_vs_phi-4-multimodal-instruct,1.0,3.9253546099290784,3.8154255319148938,9.53581560283688,disguising/model-responses/base_500/phi-4-multimodal-instruct.csv,disguising/model-responses/base_500/phi-4-multimodal-instruct.csv,phi-4-multimodal-instruct,phi-4-multimodal-instruct
mistralai_Mistral-7B-Instruct-v0.2_vs_mistralai_Mistral-7B-Instruct-v0.2,1.0,4.0,3.943548387096774,9.886437246963562,disguising/model-responses/base_500/mistralai_Mistral-7B-Instruct-v0.2.csv,disguising/model-responses/base_500/mistralai_Mistral-7B-Instruct-v0.2.csv,mistralai_Mistral-7B-Instruct-v0.2,mistralai_Mistral-7B-Instruct-v0.2
Qwen_Qwen2.5-Coder-7B-Instruct_vs_Qwen_Qwen2.5-Coder-7B-Instruct,1.0,4.0,3.983967935871743,9.90320641282565,disguising/model-responses/base_500/Qwen_Qwen2.5-Coder-7B-Instruct.csv,disguising/model-responses/base_500/Qwen_Qwen2.5-Coder-7B-Instruct.csv,Qwen_Qwen2.5-Coder-7B-Instruct,Qwen_Qwen2.5-Coder-7B-Instruct
microsoft_Phi-4-multimodal-instruct_vs_microsoft_Phi-4-multimodal-instruct,1.0,4.0,3.979879275653923,9.90241935483871,disguising/model-responses/base_500/microsoft_Phi-4-multimodal-instruct.csv,disguising/model-responses/base_500/microsoft_Phi-4-multimodal-instruct.csv,microsoft_Phi-4-multimodal-instruct,microsoft_Phi-4-multimodal-instruct
