style_function,response1,response2,match
ALL CAPS,0.1903807615230461,0.35671342685370744,0.7575150300601202
Blockquotes,0.0,0.0,1.0
Bullets,0.06212424849699399,0.3246492985971944,0.6973947895791583
Code Formatting,0.036072144288577156,0.10220440881763528,0.9298597194388778
Emojis,0.004008016032064128,0.006012024048096192,0.9979959919839679
Exclamations,0.13627254509018036,0.27054108216432865,0.8136272545090181
First-Person Pronouns,0.25851703406813625,0.3787575150300601,0.7434869739478958
Greeting (Start),0.022044088176352707,0.02404809619238477,0.9939879759519038
Header/Title,0.08016032064128256,0.24649298597194388,0.8016032064128257
Links,0.0,0.012024048096192385,0.9879759519038076
List,0.24849699398797595,0.6092184368737475,0.5671342685370742
Long Sentences,0.156312625250501,0.17234468937875752,0.7915831663326653
Markdown,0.29458917835671344,0.6513026052104208,0.5711422845691383
Math Symbols,0.46092184368737477,0.7735470941883767,0.5951903807615231
Numbered Steps,0.06813627254509018,0.04809619238476954,0.9118236472945892
Parentheses,0.6673346693386774,0.5210420841683366,0.7535070140280561
Questions,0.0841683366733467,0.11222444889779559,0.9278557114228457
Repetition,0.9539078156312625,0.9779559118236473,0.9559118236472945
Sign-off (End),0.0,0.012024048096192385,0.9879759519038076
Starts with List,0.03006012024048096,0.04609218436873747,0.9719438877755511
