style_function,response1,response2,match
ALL CAPS,0.32679738562091504,0.23965141612200436,0.7821350762527233
Blockquotes,0.0,0.0,1.0
Bullets,0.09586056644880174,0.02178649237472767,0.9128540305010894
Code Formatting,0.08496732026143791,0.04357298474945534,0.9455337690631809
Emojis,0.006535947712418301,0.004357298474945534,0.9978213507625272
Exclamations,0.032679738562091505,0.16775599128540306,0.8126361655773421
First-Person Pronouns,0.39869281045751637,0.35076252723311546,0.673202614379085
Greeting (Start),0.008714596949891068,0.02832244008714597,0.9803921568627451
Header/Title,0.13725490196078433,0.006535947712418301,0.869281045751634
Links,0.004357298474945534,0.008714596949891068,0.9912854030501089
List,0.2374727668845316,0.2701525054466231,0.7363834422657952
Long Sentences,0.5076252723311547,0.20697167755991286,0.5816993464052288
Markdown,0.4422657952069717,0.15904139433551198,0.673202614379085
Math Symbols,0.7450980392156863,0.49455337690631807,0.6230936819172114
Numbered Steps,0.04793028322440087,0.2178649237472767,0.7647058823529411
Parentheses,0.33769063180827885,0.6034858387799564,0.6427015250544662
Questions,0.09586056644880174,0.06753812636165578,0.9281045751633987
Repetition,0.9803921568627451,0.9934640522875817,0.9782135076252724
Sign-off (End),0.002178649237472767,0.002178649237472767,0.9956427015250545
Starts with List,0.04357298474945534,0.06100217864923747,0.9302832244008714
