style_function,response1,response2,match
ALL CAPS,0.23965141612200436,0.37254901960784315,0.775599128540305
Blockquotes,0.0,0.0,1.0
Bullets,0.02178649237472767,0.23529411764705882,0.7777777777777778
Code Formatting,0.04357298474945534,0.10893246187363835,0.9259259259259259
Emojis,0.004357298474945534,0.004357298474945534,1.0
Exclamations,0.16775599128540306,0.10021786492374728,0.7799564270152506
First-Person Pronouns,0.35076252723311546,0.49673202614379086,0.6535947712418301
Greeting (Start),0.02832244008714597,0.013071895424836602,0.9803921568627451
Header/Title,0.006535947712418301,0.06100217864923747,0.9455337690631809
Links,0.008714596949891068,0.008714596949891068,0.9869281045751634
List,0.2701525054466231,0.5686274509803921,0.6274509803921569
Long Sentences,0.20697167755991286,0.18736383442265794,0.7407407407407407
Markdown,0.15904139433551198,0.6361655773420479,0.4880174291938998
Math Symbols,0.49455337690631807,0.7647058823529411,0.6339869281045751
Numbered Steps,0.2178649237472767,0.09803921568627451,0.7538126361655774
Parentheses,0.6034858387799564,0.5032679738562091,0.690631808278867
Questions,0.06753812636165578,0.19825708061002179,0.8474945533769063
Repetition,0.9934640522875817,0.9629629629629629,0.9651416122004357
Sign-off (End),0.002178649237472767,0.0,0.9978213507625272
Starts with List,0.06100217864923747,0.0915032679738562,0.8867102396514162
