style_function,response1,response2,match
ALL CAPS,0.3106212424849699,0.22645290581162325,0.7915831663326653
Blockquotes,0.0,0.0,1.0
Bullets,0.13627254509018036,0.07414829659318638,0.8336673346693386
Code Formatting,0.08817635270541083,0.052104208416833664,0.9599198396793587
Emojis,0.006012024048096192,0.004008016032064128,0.9979959919839679
Exclamations,0.22444889779559118,0.026052104208416832,0.7775551102204409
First-Person Pronouns,0.2785571142284569,0.3687374749498998,0.7214428857715431
Greeting (Start),0.02404809619238477,0.012024048096192385,0.9759519038076152
Header/Title,0.11222444889779559,0.026052104208416832,0.8937875751503006
Links,0.006012024048096192,0.0,0.9939879759519038
List,0.4228456913827655,0.33266533066132264,0.6933867735470942
Long Sentences,0.30861723446893785,0.10420841683366733,0.6913827655310621
Markdown,0.5991983967935872,0.46693386773547096,0.6953907815631263
Math Symbols,0.7254509018036072,0.6292585170340681,0.7474949899799599
Numbered Steps,0.02404809619238477,0.04408817635270541,0.935871743486974
Parentheses,0.342685370741483,0.7254509018036072,0.5731462925851704
Questions,0.09819639278557114,0.11823647294589178,0.9158316633266533
Repetition,0.9679358717434869,0.9659318637274549,0.9579158316633266
Sign-off (End),0.0,0.0,1.0
Starts with List,0.018036072144288578,0.08817635270541083,0.9138276553106213
