style_function,response1,response2,match
ALL CAPS,0.3360169491525424,0.23771186440677966,0.7824858757062146
Blockquotes,0.0009887005649717514,0.0018361581920903955,0.9983050847457627
Bullets,0.25607344632768364,0.19548022598870057,0.6699152542372881
Code Formatting,0.11468926553672316,0.09180790960451977,0.9573446327683616
Emojis,0.007909604519774011,0.010875706214689265,0.9846045197740113
Exclamations,0.19943502824858758,0.15918079096045198,0.7679378531073446
First-Person Pronouns,0.3190677966101695,0.4553672316384181,0.6021186440677966
Greeting (Start),0.01652542372881356,0.001694915254237288,0.9826271186440678
Header/Title,0.1497175141242938,0.022033898305084745,0.8593220338983051
Links,0.012146892655367232,0.006073446327683616,0.9871468926553673
List,0.5418079096045197,0.3021186440677966,0.6475988700564972
Long Sentences,0.19519774011299434,0.2062146892655367,0.7152542372881356
Markdown,0.5950564971751412,0.47923728813559324,0.6129943502824858
Math Symbols,0.7259887005649718,0.655367231638418,0.6584745762711864
Numbered Steps,0.03799435028248588,0.12372881355932204,0.8588983050847457
Parentheses,0.4293785310734463,0.31059322033898307,0.6628531073446328
Questions,0.11384180790960452,0.3416666666666667,0.6521186440677966
Repetition,0.9456214689265536,0.9984463276836159,0.9451977401129944
Sign-off (End),0.0031073446327683617,0.000847457627118644,0.996045197740113
Starts with List,0.03516949152542373,0.18333333333333332,0.7984463276836158
