style_function,response1,response2,match
ALL CAPS,0.19066937119675456,0.3225152129817444,0.8681541582150102
Blockquotes,0.0,0.0,1.0
Bullets,0.06288032454361055,0.26369168356997974,0.7991886409736308
Code Formatting,0.036511156186612576,0.09533468559837728,0.9411764705882353
Emojis,0.002028397565922921,0.002028397565922921,1.0
Exclamations,0.13387423935091278,0.16227180527383367,0.9716024340770791
First-Person Pronouns,0.2535496957403651,0.34279918864097364,0.9026369168356998
Greeting (Start),0.02231237322515213,0.02231237322515213,1.0
Header/Title,0.08113590263691683,0.21703853955375255,0.8640973630831643
Links,0.0,0.010141987829614604,0.9898580121703854
List,0.24949290060851928,0.5436105476673428,0.7058823529411765
Long Sentences,0.15415821501014199,0.25760649087221094,0.8762677484787018
Markdown,0.29411764705882354,0.5517241379310345,0.742393509127789
Math Symbols,0.46247464503042596,0.716024340770791,0.7464503042596349
Numbered Steps,0.06896551724137931,0.10344827586206896,0.9655172413793104
Parentheses,0.6693711967545639,0.4563894523326572,0.7870182555780934
Questions,0.08519269776876268,0.10547667342799188,0.9797160243407708
Repetition,0.9553752535496958,0.9553752535496958,1.0
Sign-off (End),0.0,0.0,1.0
Starts with List,0.030425963488843813,0.030425963488843813,1.0
