"Name","State","Notes","User","Tags","Created","Runtime","Sweep","data_dir","disguise_as","enable_thinking","method","metric.goal","metric.name","model","num_samples","parameters.disguise_as.distribution","parameters.disguise_ass","parameters.enable_thinking","parameters.method.distribution","parameters.methods","parameters.model.distribution","parameters.models","program","temperature","test","top_p","dtype","max_prompt_tokens","max_tokens","output_dir","parameters.temperature","parameters.top_p","run_name","tensor_parallel_size","average_disguised_response_token_length","ALL CAPS","Blockquotes","Bullets","Code Formatting","Emojis","Exclamations","First-Person Pronouns","Greeting (Start)","Header/Title","Links","List","Long Sentences","Markdown","Math Symbols","Numbered Steps","Parentheses","Questions","Repetition","Sign-off (End)","Starts with List","average_distance_disguise_target","average_distance_source_target","average_distance_to_source","average_distance_to_target","diff_avg_embedding_distance","heuristic_avg_score","heuristic_avg_score_source_target","heuristic_diff","heuristic_diff_normalized","length_diff","source_target_ALL CAPS","source_target_Blockquotes","source_target_Bullets","source_target_Code Formatting","source_target_Emojis","source_target_Exclamations","source_target_First-Person Pronouns","source_target_Greeting (Start)","source_target_Header/Title","source_target_Links","source_target_List","source_target_Long Sentences","source_target_Markdown","source_target_Math Symbols","source_target_Numbered Steps","source_target_Parentheses","source_target_Questions","source_target_Repetition","source_target_Sign-off (End)","source_target_Starts with List"
"OpenGVLab_InternVL3-8B_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","finished","-","","","2025-06-26T10:34:56.000Z","373","g6pxoi1r","disguising/model-responses/base_500_all_models","meta-llama/Llama-3.1-8B-Instruct","false","vibe_clustering","","","OpenGVLab/InternVL3-8B","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","456.578","0.796","1","0.678","0.972","0.972","0.728","0.706","0.968","0.772","0.998","0.778","0.816","0.778","0.836","0.906","0.74","0.81","0.964","1","0.894","0.6201696390716026","0.612667199670296","","","-0.006085508775810721","0.8555999999999999","0.8643000000000001","-0.008700000000000152","-0.01006594932315186","0.08259402910530238","0.792","1","0.72","0.974","0.998","0.728","0.702","0.984","0.794","0.992","0.796","0.806","0.804","0.852","0.88","0.766","0.852","0.956","0.988","0.902"
"Qwen_Qwen2.5-VL-7B-Instruct_disguised-microsoft_Phi-4-mini-instruct_responses-500","finished","-","","","2025-06-26T10:34:52.000Z","377","g6pxoi1r","disguising/model-responses/base_500_all_models","microsoft/Phi-4-mini-instruct","false","vibe_clustering","","","Qwen/Qwen2.5-VL-7B-Instruct","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","356.178","0.808","1","0.816","0.992","1","0.834","0.782","0.984","0.862","0.994","0.812","0.734","0.81","0.786","0.904","0.738","0.924","0.932","0.996","0.96","0.5994049777500372","0.6136357531239176","","","0.011731490140176586","0.8834","0.8829","0.0004999999999999449","0.0005663155510249688","0.00721741813357047","0.82","1","0.78","0.988","1","0.888","0.736","0.982","0.834","0.996","0.808","0.762","0.796","0.814","0.848","0.774","0.924","0.954","0.998","0.956"
"OpenGVLab_InternVL3-8B_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500","finished","-","","","2025-06-26T10:34:29.000Z","372","g6pxoi1r","disguising/model-responses/base_500_all_models","mistralai/Mistral-7B-Instruct-v0.3","false","vibe_clustering","","","OpenGVLab/InternVL3-8B","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","509.168","0.834","0.998","0.706","0.978","0.994","0.84","0.728","0.986","0.788","0.976","0.624","0.742","0.474","0.726","0.698","0.742","0.92","0.97","0.998","0.95","0.6279483651189997","0.624165440819286","","","-0.0030212304039558377","0.8336","0.8351000000000001","-0.0015000000000000568","-0.0017961920728057198","0.30403414380638016","0.838","0.998","0.7","0.974","1","0.82","0.75","0.994","0.778","0.984","0.664","0.706","0.528","0.724","0.688","0.732","0.92","0.976","0.988","0.94"
"OpenGVLab_InternVL3-8B_disguised-OpenGVLab_InternVL3-8B_responses-500","finished","-","","","2025-06-26T10:33:53.000Z","928","g6pxoi1r","disguising/model-responses/base_500_all_models","OpenGVLab/InternVL3-8B","false","vibe_clustering","","","OpenGVLab/InternVL3-8B","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","474.872","0.868","1","0.746","0.962","0.994","0.784","0.778","0.99","0.802","0.99","0.774","0.822","0.804","0.84","0.946","0.784","0.904","0.87","0.988","0.958","0.5790854552089081","0.0004580881401607405","","","-0.9984191415971488","0.8802","1","-0.11980000000000002","-0.11980000000000002","-0.05545217518485935","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Qwen_Qwen2.5-VL-7B-Instruct_disguised-OpenGVLab_InternVL3-8B_responses-500","finished","-","","","2025-06-26T10:29:51.000Z","390","g6pxoi1r","disguising/model-responses/base_500_all_models","OpenGVLab/InternVL3-8B","false","vibe_clustering","","","Qwen/Qwen2.5-VL-7B-Instruct","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","374.264","0.824","1","0.734","0.976","0.996","0.784","0.78","0.974","0.846","0.992","0.664","0.672","0.708","0.792","0.95","0.732","0.914","0.94","0.986","0.962","0.6044741388795933","0.5787731463605379","","","-0.021720728067286137","0.8613","0.8843","-0.02300000000000002","-0.026009272871197583","-0.29638950409216586","0.816","1","0.748","0.982","0.998","0.822","0.768","0.994","0.846","0.994","0.806","0.786","0.796","0.832","0.882","0.784","0.916","0.956","0.988","0.972"
"Qwen_Qwen2.5-VL-7B-Instruct_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500","finished","-","","","2025-06-26T10:10:07.000Z","368","g6pxoi1r","disguising/model-responses/base_500_all_models","mistralai/Mistral-7B-Instruct-v0.3","false","vibe_clustering","","","Qwen/Qwen2.5-VL-7B-Instruct","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","400.63","0.84","0.998","0.904","0.978","0.996","0.814","0.75","0.962","0.904","0.986","0.804","0.696","0.708","0.73","0.716","0.752","0.918","0.942","0.992","0.946","0.6434471551711226","0.62284067337126","","","-0.01627314212092095","0.8668000000000001","0.8489999999999999","0.01780000000000026","0.020965842167255905","0.06725413994667377","0.818","0.998","0.756","0.98","0.998","0.854","0.726","0.988","0.808","0.982","0.706","0.74","0.624","0.744","0.69","0.744","0.92","0.96","0.996","0.948"
"Qwen_Qwen2.5-VL-7B-Instruct_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500","finished","-","","","2025-06-26T09:44:58.000Z","1882","g6pxoi1r","disguising/model-responses/base_500_all_models","Qwen/Qwen2.5-VL-7B-Instruct","false","vibe_clustering","","","Qwen/Qwen2.5-VL-7B-Instruct","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","326.434","0.858","1","0.794","0.986","1","0.874","0.77","0.986","0.846","1","0.748","0.702","0.764","0.796","0.898","0.78","0.912","0.974","1","0.978","0.5652020756397916","0.0007675004610023033","","","-0.9972878384513532","0.8833000000000002","1","-0.1166999999999998","-0.1166999999999998","-0.1851118321608249","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"meta-llama_Llama-3.1-8B-Instruct_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500","finished","-","","","2025-06-26T09:44:37.000Z","2091","g6pxoi1r","disguising/model-responses/base_500_all_models","Qwen/Qwen2.5-VL-7B-Instruct","false","vibe_clustering","","","meta-llama/Llama-3.1-8B-Instruct","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","559.474","0.778","1","0.692","0.976","0.998","0.846","0.658","0.98","0.384","0.998","0.68","0.744","0.632","0.764","0.89","0.738","0.876","0.96","1","0.968","0.671432432918413","0.6362999007769247","","","-0.026865231696315307","0.8280999999999998","0.8528000000000002","-0.02470000000000039","-0.02896341463414679","0.3252008741425419","0.772","1","0.732","0.976","1","0.81","0.686","0.978","0.824","0.998","0.73","0.768","0.724","0.824","0.822","0.706","0.84","0.952","1","0.914"
"microsoft_Phi-4-mini-instruct_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500","finished","-","","","2025-06-26T09:43:16.000Z","1952","g6pxoi1r","disguising/model-responses/base_500_all_models","Qwen/Qwen2.5-VL-7B-Instruct","false","vibe_clustering","","","microsoft/Phi-4-mini-instruct","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","335.34","0.814","1","0.774","0.978","0.998","0.858","0.738","0.97","0.808","0.99","0.7","0.714","0.798","0.812","0.888","0.764","0.912","0.948","1","0.958","0.6441369616149845","0.613643700368387","","","-0.024243703348494152","0.8711","0.8829","-0.011800000000000033","-0.013365047004190772","-0.17986575526051649","0.82","1","0.78","0.988","1","0.888","0.736","0.982","0.834","0.996","0.808","0.762","0.796","0.814","0.848","0.774","0.924","0.954","0.998","0.956"
"mistralai_Mistral-7B-Instruct-v0.3_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500","finished","-","","","2025-06-26T09:40:49.000Z","1803","g6pxoi1r","disguising/model-responses/base_500_all_models","Qwen/Qwen2.5-VL-7B-Instruct","false","vibe_clustering","","","mistralai/Mistral-7B-Instruct-v0.3","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","321.366","0.822","1","0.74","0.854","1","0.838","0.694","0.984","0.79","0.986","0.63","0.684","0.646","0.704","0.854","0.706","0.906","0.958","1","0.972","0.7049218535051346","0.6228080618020647","","","-0.06184525237881008","0.8384","0.8489999999999999","-0.010599999999999832","-0.012485276796230665","-0.07960723447238698","0.818","0.998","0.756","0.98","0.998","0.854","0.726","0.988","0.808","0.982","0.706","0.74","0.624","0.744","0.69","0.744","0.92","0.96","0.996","0.948"
"OpenGVLab_InternVL3-8B_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500","finished","-","","","2025-06-26T09:39:32.000Z","2106","g6pxoi1r","disguising/model-responses/base_500_all_models","Qwen/Qwen2.5-VL-7B-Instruct","false","vibe_clustering","","","OpenGVLab/InternVL3-8B","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","575.474","0.812","1","0.644","0.986","0.996","0.284","0.744","0.99","0.514","0.988","0.742","0.76","0.706","0.802","0.89","0.798","0.808","0.958","0.998","0.974","0.6305834755005353","0.5787641923259309","","","-0.042848954484476766","0.8196999999999999","0.8843","-0.0646000000000001","-0.07305213162953761","0.23312882402961432","0.816","1","0.748","0.982","0.998","0.822","0.768","0.994","0.846","0.994","0.806","0.786","0.796","0.832","0.882","0.784","0.916","0.956","0.988","0.972"
"Qwen_Qwen2.5-VL-7B-Instruct_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","finished","-","","","2025-06-26T09:38:12.000Z","1992","g6pxoi1r","disguising/model-responses/base_500_all_models","meta-llama/Llama-3.1-8B-Instruct","false","vibe_clustering","","","Qwen/Qwen2.5-VL-7B-Instruct","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","312.872","0.756","1","0.762","0.97","0.996","0.788","0.7","0.978","0.92","0.994","0.662","0.676","0.67","0.748","0.904","0.656","0.858","0.932","0.996","0.916","0.6704132312181444","0.636312453333693","","","-0.026096355407712706","0.8441000000000001","0.8528000000000002","-0.008700000000000152","-0.010201688555347269","-0.255619651403532","0.772","1","0.732","0.976","1","0.81","0.686","0.978","0.824","0.998","0.73","0.768","0.724","0.824","0.822","0.706","0.84","0.952","1","0.914"
"meta-llama_Llama-3.1-8B-Instruct_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","finished","-","","","2025-06-26T09:38:02.000Z","1917","g6pxoi1r","disguising/model-responses/base_500_all_models","meta-llama/Llama-3.1-8B-Instruct","false","vibe_clustering","","","meta-llama/Llama-3.1-8B-Instruct","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","415.55","0.83","1","0.758","0.982","1","0.89","0.732","0.988","0.96","0.996","0.832","0.76","0.824","0.872","0.912","0.79","0.818","0.964","1","0.91","0.566043185078017","0.0007377028810878148","","","-0.9973968674782095","0.8909","1","-0.10909999999999996","-0.10909999999999996","0.05908429523965699","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"microsoft_Phi-4-mini-instruct_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","finished","-","","","2025-06-26T09:11:56.000Z","1950","g6pxoi1r","disguising/model-responses/base_500_all_models","meta-llama/Llama-3.1-8B-Instruct","false","vibe_clustering","","","microsoft/Phi-4-mini-instruct","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","329.51","0.76","1","0.77","0.974","0.99","0.764","0.692","0.976","0.948","0.988","0.742","0.724","0.742","0.784","0.87","0.71","0.846","0.94","1","0.884","0.6763662926583536","0.6427859058831678","","","-0.02545603669713996","0.8552","0.8619000000000001","-0.00670000000000015","-0.007773523610627856","-0.1784688765323547","0.788","1","0.728","0.98","1","0.802","0.67","0.98","0.93","0.994","0.75","0.79","0.752","0.806","0.854","0.744","0.836","0.946","0.998","0.89"
