style_function,response1,response2,match
ALL CAPS,0.23742454728370221,0.32193158953722334,0.7987927565392354
Blockquotes,0.0,0.0,1.0
Bullets,0.022132796780684104,0.26156941649899396,0.7484909456740443
Code Formatting,0.04426559356136821,0.09456740442655935,0.9416498993963782
Emojis,0.004024144869215292,0.004024144869215292,1.0
Exclamations,0.1750503018108652,0.16297786720321933,0.8470824949698189
First-Person Pronouns,0.36016096579476864,0.3460764587525151,0.7283702213279678
Greeting (Start),0.026156941649899398,0.022132796780684104,0.9879275653923542
Header/Title,0.006036217303822937,0.2152917505030181,0.7907444668008048
Links,0.008048289738430584,0.01006036217303823,0.9899396378269618
List,0.2676056338028169,0.5412474849094567,0.6338028169014085
Long Sentences,0.20925553319919518,0.2595573440643863,0.7243460764587525
Markdown,0.16297786720321933,0.5492957746478874,0.5613682092555332
Math Symbols,0.5010060362173038,0.7122736418511066,0.6197183098591549
Numbered Steps,0.21730382293762576,0.10261569416498995,0.7565392354124748
Parentheses,0.5955734406438632,0.45472837022132795,0.682092555331992
Questions,0.06438631790744467,0.10462776659959759,0.9235412474849095
Repetition,0.993963782696177,0.9537223340040242,0.959758551307847
Sign-off (End),0.004024144869215292,0.0,0.9959758551307847
Starts with List,0.06237424547283702,0.030181086519114688,0.9476861167002012
