style_function,response1,response2,match
ALL CAPS,0.25101214574898784,0.19230769230769232,0.8279352226720648
Blockquotes,0.0,0.0,1.0
Bullets,0.02631578947368421,0.06072874493927125,0.9210526315789473
Code Formatting,0.08502024291497975,0.03643724696356275,0.9473684210526315
Emojis,0.006072874493927126,0.004048582995951417,0.9979757085020243
Exclamations,0.17813765182186234,0.13562753036437247,0.8441295546558705
First-Person Pronouns,0.3643724696356275,0.2631578947368421,0.7165991902834008
Greeting (Start),0.02834008097165992,0.022267206477732792,0.9898785425101214
Header/Title,0.030364372469635626,0.07894736842105263,0.902834008097166
Links,0.008097165991902834,0.0,0.9919028340080972
List,0.2591093117408907,0.24696356275303644,0.7206477732793523
Long Sentences,0.3825910931174089,0.15789473684210525,0.6093117408906883
Markdown,0.27125506072874495,0.291497975708502,0.7125506072874493
Math Symbols,0.6275303643724697,0.46153846153846156,0.6234817813765182
Numbered Steps,0.13562753036437247,0.06882591093117409,0.8319838056680162
Parentheses,0.3340080971659919,0.6659919028340081,0.5951417004048583
Questions,0.06477732793522267,0.08502024291497975,0.9352226720647774
Repetition,0.979757085020243,0.9534412955465587,0.9615384615384616
Sign-off (End),0.0,0.0,1.0
Starts with List,0.05263157894736842,0.030364372469635626,0.9574898785425101
