style_function,response1,response2,match
ALL CAPS,0.2796780684104628,0.23742454728370221,0.8249496981891348
Blockquotes,0.0,0.0,1.0
Bullets,0.07042253521126761,0.022132796780684104,0.9235412474849095
Code Formatting,0.08249496981891348,0.04426559356136821,0.9496981891348089
Emojis,0.002012072434607646,0.004024144869215292,0.9979879275653923
Exclamations,0.16297786720321933,0.1750503018108652,0.8390342052313883
First-Person Pronouns,0.2676056338028169,0.36016096579476864,0.7263581488933601
Greeting (Start),0.030181086519114688,0.026156941649899398,0.9919517102615694
Header/Title,0.05835010060362173,0.006036217303822937,0.9436619718309859
Links,0.008048289738430584,0.008048289738430584,0.9879275653923542
List,0.25553319919517103,0.2676056338028169,0.7907444668008048
Long Sentences,0.42857142857142855,0.20925553319919518,0.6317907444668008
Markdown,0.32595573440643866,0.16297786720321933,0.744466800804829
Math Symbols,0.6217303822937625,0.5010060362173038,0.6257545271629779
Numbered Steps,0.03621730382293763,0.21730382293762576,0.7826961770623743
Parentheses,0.3158953722334004,0.5955734406438632,0.635814889336016
Questions,0.0744466800804829,0.06438631790744467,0.9496981891348089
Repetition,0.9557344064386318,0.993963782696177,0.9577464788732394
Sign-off (End),0.0,0.004024144869215292,0.9959758551307847
Starts with List,0.022132796780684104,0.06237424547283702,0.9396378269617707
