style_function,response1,response2,match
ALL CAPS,0.22645290581162325,0.3226452905811623,0.7595190380761523
Blockquotes,0.0,0.0,1.0
Bullets,0.07414829659318638,0.2625250501002004,0.7434869739478958
Code Formatting,0.052104208416833664,0.09418837675350701,0.9579158316633266
Emojis,0.004008016032064128,0.004008016032064128,1.0
Exclamations,0.026052104208416832,0.16432865731462926,0.8336673346693386
First-Person Pronouns,0.3687374749498998,0.3466933867735471,0.7414829659318637
Greeting (Start),0.012024048096192385,0.022044088176352707,0.9779559118236473
Header/Title,0.026052104208416832,0.218436873747495,0.7995991983967936
Links,0.0,0.01002004008016032,0.9899799599198397
List,0.33266533066132264,0.5430861723446894,0.625250501002004
Long Sentences,0.10420841683366733,0.25851703406813625,0.749498997995992
Markdown,0.46693386773547096,0.5511022044088176,0.6833667334669339
Math Symbols,0.6292585170340681,0.7134268537074149,0.7354709418837675
Numbered Steps,0.04408817635270541,0.10020040080160321,0.8597194388777555
Parentheses,0.7254509018036072,0.45691382765531063,0.6352705410821643
Questions,0.11823647294589178,0.10420841683366733,0.9018036072144289
Repetition,0.9659318637274549,0.9539078156312625,0.9519038076152304
Sign-off (End),0.0,0.0,1.0
Starts with List,0.08817635270541083,0.03006012024048096,0.9138276553106213
